,VQT,Conv1D,Gabor1D,MuReNN
48,0.013983554070624613,0.2702827602769183,1.9994687066571018e-07,0.0007563972275379501
49,0.014172066251087639,0.16607875075791065,3.048915069670067e-07,0.0002919853607112098
50,0.014512162222587338,0.07958404935251276,3.039897631644864e-07,0.00022438790324718423
51,0.014972475221482186,0.11867045212183965,2.9522989916062353e-07,0.00017632252119454967
52,0.015551815299425616,0.2786855182094271,2.8899321360695184e-07,9.526408667207382e-05
53,0.016216279703042853,0.03257105940126629,4.041816421158336e-07,4.661768379808648e-05
54,0.017014943246368795,0.04447069709522945,4.0383418635839804e-07,4.4781208956085254e-05
55,0.017935527927973493,0.25271137502965996,3.9729173038921604e-07,1.2845713717920005e-05
56,0.01889830309701872,0.1427712023955718,3.9707652870514393e-07,7.855011554024524e-06
57,0.019969671006417885,0.20683149458902023,3.9638743191567773e-07,2.0007336971381637e-06
58,0.021191531982228,0.13217905884421585,3.971334387567344e-07,6.547058610928787e-07
59,0.022488012747651723,0.07786558590713034,5.199124540605025e-07,5.4612694461839385e-05
60,0.02383668008875465,0.07608401120044833,5.216398498152211e-07,4.456645886951703e-06
61,0.02532902499240778,0.08921289389947624,6.734765657117075e-07,7.012550220168997e-05
62,0.02699093122024221,0.07721655049616372,6.78627488289634e-07,3.061538580092269e-05
63,0.028708811400155243,0.10541552858908522,6.62384250247967e-07,4.3364402603757156e-05
64,0.03051336632159176,0.0811717544103155,6.540972245040418e-07,2.109569906928453e-05
65,0.03252369257884407,0.07456209570178496,8.056069421386924e-07,1.2285215320309034e-05
66,0.03470854037305324,0.08263524192922382,9.608427924188148e-07,8.036402784238826e-06
67,0.0369916334643694,0.09465916476513832,1.0197293764697655e-06,3.6587532325537006e-06
68,0.03939189878916002,0.08233068130701539,1.024628011295881e-06,1.1813736455297245e-06
69,0.042081928500886705,0.07212414772340375,1.0251594832385285e-06,5.80754719761568e-07
70,0.04495012890402302,0.08234636343395936,1.279326135046119e-06,1.8318327701829225e-06
71,0.04794808038384792,0.06787217030308527,1.2322981046031166e-06,3.208291229881021e-06
72,0.051144225081561516,0.0563041944708484,1.2508235793300125e-06,4.181709867220175e-06
73,0.05470844725361782,0.07723822509949771,1.5025618144459586e-06,8.564762951430885e-05
74,0.05846082019530477,0.06392591667942116,1.5334131864641363e-06,9.711094650447383e-05
75,0.06235152656131912,0.06587370726491897,1.7722260701935443e-06,5.499632481601787e-05
76,0.06659171146981685,0.061664493388241017,2.083482428399574e-06,5.169848342246684e-05
77,0.07129536627263425,0.07086834757603108,2.097997429255386e-06,1.864135083072368e-05
78,0.07619202014578075,0.05285648254770469,2.389583148566733e-06,1.7722571183083694e-06
79,0.08131287667644765,0.07004088106141698,2.0931506064653687e-06,7.041068053224427e-06
80,0.08704190954412808,0.05587292043127687,2.39887623157408e-06,9.003799858306208e-06
81,0.09336883204855607,0.04789023858448179,2.7380582738236813e-06,2.591847465432734e-06
82,0.09993967506433724,0.07464366100768507,2.7444752238189802e-06,2.5483114177234927e-05
83,0.1069395023883823,0.07189074929310947,3.47141013059132e-06,1.1536601975143824e-05
